"team","med.scr","mn.scr","sd.scr"
"49ers",8,8.16,2.927
"Bears",16,16.72,2.939
"Bengals",4,4.69,1.944
"Bills",18,18.53,2.968
"Broncos",2,2.22,0.739
"Browns",22,22,2.062
"Buccaneers",29,28.47,1.541
"Cardinals",6,7.09,2.697
"Chargers",3,2.88,1.111
"Chiefs",17.5,17.5,2.5
"Colts",7,7.03,2.284
"Cowboys",11,10.88,2.012
"Dolphins",22,22,2.424
"Eagles",7,6.97,2.243
"Falcons",21,20.47,2.5
"Giants",15,15.78,3.039
"Jaguars",31,31.38,0.65
"Jets",28,27.84,1.922
"Lions",13,12.75,3.031
"Packers",8,8.69,2.567
"Panthers",14,14.03,2.417
"Patriots",10.5,10.75,3.4
"Raiders",31.5,31.5,0.5
"Rams",27.5,27.44,1.713
"Ravens",11,11.13,2.534
"Redskins",27,27.16,1.856
"Saints",22,21.72,3.319
"Seahawks",1,1.44,0.864
"Steelers",20,20.16,3.134
"Texans",17,17.84,3.93
"Titans",29,28.28,1.352
"Vikings",25,24.53,1.732
