"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Philadelphia","2","0","0","1.000","1-0","1-0","0-0","0-0","64","44","+20","Won 2"
"Dallas","1","1","0",".500","0-1","1-0","0-0","0-1","43","38","+5","Won 1"
"Washington","1","1","0",".500","1-0","0-1","0-0","0-0","47","27","+20","Won 1"
"NY Giants","0","2","0",".000","0-1","0-1","0-0","0-2","28","60","-32","Lost 2"
"Chicago","1","1","0",".500","0-1","1-0","0-0","1-0","48","43","+5","Won 1"
"Minnesota","1","1","0",".500","0-1","1-0","0-0","1-0","41","36","+5","Lost 1"
"Detroit","1","1","0",".500","1-0","0-1","0-0","1-1","42","38","+4","Lost 1"
"Green Bay","1","1","0",".500","1-0","0-1","0-0","0-1","47","60","-13","Won 1"
"Carolina","2","0","0","1.000","1-0","1-0","1-0","2-0","44","21","+23","Won 2"
"Atlanta","1","1","0",".500","1-0","0-1","1-0","1-0","47","58","-11","Lost 1"
"Tampa Bay","0","2","0",".000","0-2","0-0","0-1","0-2","31","39","-8","Lost 2"
"New Orleans","0","2","0",".000","0-0","0-2","0-1","0-1","58","63","-5","Lost 2"
"Arizona","2","0","0","1.000","1-0","1-0","0-0","1-0","43","31","+12","Won 2"
"Seattle","1","1","0",".500","1-0","0-1","0-0","1-0","57","46","+11","Lost 1"
"San Francisco","1","1","0",".500","0-1","1-0","0-0","1-1","48","45","+3","Lost 1"
"St. Louis","1","1","0",".500","0-1","1-0","0-0","1-1","25","51","-26","Won 1"
"Buffalo","2","0","0","1.000","1-0","1-0","1-0","1-0","52","30","+22","Won 2"
"Miami","1","1","0",".500","1-0","0-1","1-1","1-1","43","49","-6","Lost 1"
"NY Jets","1","1","0",".500","1-0","0-1","0-0","1-0","43","45","-2","Lost 1"
"New England","1","1","0",".500","0-0","1-1","0-1","0-1","50","40","+10","Won 1"
"Cincinnati","2","0","0","1.000","1-0","1-0","1-0","1-0","47","26","+21","Won 2"
"Baltimore","1","1","0",".500","1-1","0-0","1-1","1-1","42","29","+13","Won 1"
"Pittsburgh","1","1","0",".500","1-0","0-1","1-1","1-1","36","53","-17","Lost 1"
"Cleveland","1","1","0",".500","1-0","0-1","0-1","0-1","53","54","-1","Won 1"
"Houston","2","0","0","1.000","1-0","1-0","0-0","1-0","47","20","+27","Won 2"
"Tennessee","1","1","0",".500","0-1","1-0","0-0","1-0","36","36","0","Lost 1"
"Indianapolis","0","2","0",".000","0-1","0-1","0-0","0-1","51","61","-10","Lost 2"
"Jacksonville","0","2","0",".000","0-0","0-2","0-0","0-0","27","75","-48","Lost 2"
"Denver","2","0","0","1.000","2-0","0-0","1-0","2-0","55","41","+14","Won 2"
"San Diego","1","1","0",".500","1-0","0-1","0-0","0-0","47","39","+8","Won 1"
"Oakland","0","2","0",".000","0-1","0-1","0-0","0-2","28","49","-21","Lost 2"
"Kansas City","0","2","0",".000","0-1","0-1","0-1","0-2","27","50","-23","Lost 2"
